ligand,class,prep,vina_mean,vina_min,rtm_mean,rtm_min,rtm_3POZ,rtm_3RCD,heavy_atoms,MW,cLogP,TPSA,rtm_3POZ_z,rtm_3RCD_z,rtm_min_z
EH120_096,B_only,rdkit_meeko,10.6575,10.579,62.10460421235888,52.24219739775884,52.24219739775884,71.96701102695893,38.0,505.58200000000033,4.675040000000004,90.96000000000001,0.4161776232123362,0.6284130052074657,0.4161776232123362
EH120_097,B_only,rdkit_meeko,10.261,10.095,78.17041126975225,62.54765171202352,62.54765171202352,93.79317082748098,33.0,441.53500000000025,4.820400000000004,72.4,1.036740561290662,1.6009912106598432,1.036740561290662
EH120_098,B_only,rdkit_meeko,10.506,10.411,58.05186018026581,54.46212344902186,54.46212344902186,61.641596911509765,37.0,493.5710000000003,4.748540000000004,90.96000000000001,0.549854780053596,0.16831041168040836,0.16831041168040836
EH120_099,B_only,rdkit_meeko,10.071000000000002,9.896,50.33642369878051,35.70422784802791,35.70422784802791,64.9686195495331,36.0,508.9850000000003,4.898600000000004,95.17000000000002,-0.5796883192939727,0.31656323014968285,-0.5796883192939727
EH120_100,B_only,rdkit_meeko,10.251999999999999,10.09,65.90189831126202,61.670906653323975,61.670906653323975,70.13288996920006,37.0,495.54700000000025,3.5684200000000015,129.35,0.9839456555076979,0.5466841906454617,0.5466841906454617
EH120_101,B_only,rdkit_meeko,10.618500000000001,10.597,56.384595723689245,44.72858905151793,44.72858905151793,68.04060239586056,39.0,519.6090000000002,5.137040000000004,90.96000000000001,-0.03626888993741213,0.45345142262915805,-0.03626888993741213
EH120_102,neither,rdkit_meeko,6.7955000000000005,6.785,24.131354936652528,23.40867284968871,24.85403702361635,23.40867284968871,25.0,344.845,5.376700000000004,17.82,-1.23305362385772,-1.5353566105116285,-1.5353566105116285
EH120_103,neither,rdkit_meeko,8.993500000000001,8.747,37.4657473345778,36.97624948235823,37.95524518679738,36.97624948235823,23.0,306.325,3.1157000000000012,76.83000000000001,-0.4441389402162872,-0.9307825830904736,-0.9307825830904736
EH120_104,neither,rdkit_meeko,10.747499999999999,10.219,38.16956987699393,34.693999202528936,41.64514055145892,34.693999202528936,28.0,366.424,4.716900000000003,67.6,-0.22194472743651358,-1.0324801286887821,-1.0324801286887821
EH120_105,neither,rdkit_meeko,9.233,9.216,51.049142317738244,50.8664853056565,51.23179932981999,50.8664853056565,24.0,379.634,5.163900000000002,67.6,0.355334542010095,-0.31183079524501695,-0.31183079524501695
EH120_106,neither,rdkit_meeko,9.317499999999999,9.051,37.63336075581547,35.732868967965764,39.53385254366517,35.732868967965764,22.0,290.326,3.5121200000000012,67.6,-0.3490800335852664,-0.9861878765747333,-0.9861878765747333
EH120_107,neither,rdkit_meeko,7.960000000000001,7.758,26.329780408843042,25.3175379644628,25.3175379644628,27.342022853223284,27.0,528.1830000000001,-0.07182999999999906,179.76,-1.2051430148847992,-1.3600857189385605,-1.3600857189385605
EH120_108,neither,rdkit_meeko,7.822,7.763,32.07261756923138,28.28897068304262,28.28897068304262,35.85626445542015,26.0,449.28700000000003,-0.8343299999999987,179.76,-1.0262124251298603,-0.9806893480728738,-1.0262124251298603
EH120_109,neither,rdkit_meeko,4.8365,4.636,21.856240419782942,18.69739167385891,18.69739167385891,25.01508916570697,15.0,225.31699999999992,1.9156000000000002,53.82,-1.6037879758273688,-1.463774366446638,-1.6037879758273688
EH120_110,neither,rdkit_meeko,6.9265,6.797,26.852509340688243,24.699778542068383,24.699778542068383,29.005240139308107,21.0,329.2710000000001,3.6430000000000025,32.34,-1.2423425977945997,-1.2859724118720988,-1.2859724118720988
