canonical_smiles,name,chembl_id,in_production_1588,q_ge_0.5_top1,q_ge_0.5_top3,q_ge_0.5_top5
COc1cc(F)ccc1-c1c(C)sc2cnc(Nc3cnn(C4CCNCC4)c3)nc12,NEFEXTINIB,CHEMBL4297470,True,True,True,True
[2H]C([2H])([2H])NC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,CM-4307,CHEMBL4297490,True,True,True,True
C[C@@H]1CN(c2nc(-n3ccc(OCCC4(C(F)(F)F)CC4)n3)ccc2C(=O)NS(=O)(=O)c2ccccc2)C(C)(C)C1,BAMOCAFTOR,CHEMBL4297849,True,True,True,True
Nc1nc(-c2cccc(-n3ccc4cc(C5CC5)cc(F)c4c3=O)c2CO)c2cc(C3=CCN(C4COC4)CC3)[nH]c2n1,MILREBRUTINIB,CHEMBL5077961,True,True,True,True
O=C(/C=C1\CCOc2cc(C(F)(F)F)ccc21)Nc1cccc2c1C[C@H](O)CC2,MOTUGIVATREP,CHEMBL5095073,True,True,True,True
O=C(O)[C@H]1C2CCC(CC2)[C@@H]1Nc1nc(-c2n[nH]c3ncc(F)cc23)nc(C2CC2)c1F,ONRADIVIR,CHEMBL5095075,True,True,True,True
CC(F)(F)c1cc(F)ccc1-c1sc2cc(O)ccc2c1Oc1ccc(/C=C/C(=O)O)cc1,LSZ-102,CHEMBL4076124,True,True,True,True
CC[C@@H](C)Nc1cc(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3c2ccc(C(=O)C3CC3)cn2)c(C)cc1C(N)=O,XL-888,CHEMBL4297451,True,True,True,True
C[C@@H]1CN(c2nc(-n3ccc(OCCC4(C(F)(F)F)CC4)n3)ccc2C(=O)[N-]S(=O)(=O)c2ccccc2)C(C)(C)C1,BAMOCAFTOR POTASSIUM,CHEMBL4298159,True,True,True,True
C[C@@H]1CN(C(=O)c2ccc(NC(=O)c3cc(O[C@H](C)c4c(Cl)ccc(F)c4Cl)c(N)nn3)cc2)C[C@H](C)N1,ENSARTINIB HYDROCHLORIDE,CHEMBL4297219,True,True,True,True
CCOC(=O)O[C@@H](C)n1nnnc1-c1c(-c2ccc(C(=O)N(c3ncccc3Cl)[C@@H]3CCCNC3)cc2F)cnn1C,PF-06815345,CHEMBL4227721,True,True,True,True
C[C@@H](c1ccc(-c2ccccc2)c(F)c1)c1cc(NC(=N)N2CCOCC2)on1,RIMACALIB,CHEMBL2107772,True,True,True,True
Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C(C)(C)C(N)=O)c4)cc2OCC3)n(C(C)C)n1,TASELISIB,CHEMBL2387080,True,True,True,True
COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](C#N)(c2ccc(Cl)cc2F)[C@H]1c1cccc(Cl)c1F,IDASANUTLIN,CHEMBL2402737,True,True,True,True
