pair_hint,target,ligand,cnn_score,cnn_affinity
JAK1/JAK2,8BXH,J1J2_061,0.4043191671,7.4306988716
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_062,0.8639029264,7.9134907722
JAK1/JAK2,8BXH,J1J2_062,0.222681269,6.5392432213
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_063,0.5094000101,7.3399906158
JAK1/JAK2,8BXH,J1J2_063,0.8685706854,8.0113735199
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_064,0.6563530564,7.6881260872
JAK1/JAK2,8BXH,J1J2_064,0.6250141859,7.572971344
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_065,0.9535759091,7.6286463737
JAK1/JAK2,8BXH,J1J2_065,0.8973412514,7.5746612549
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_066,0.8999871016,7.5769953728
JAK1/JAK2,8BXH,J1J2_066,0.9107943177,7.8925557137
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_067,0.7955304384,7.6483559608
JAK1/JAK2,8BXH,J1J2_067,0.7745324373,7.5521178246
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_068,0.9156511426,7.7858290672
JAK1/JAK2,8BXH,J1J2_068,0.7998980284,7.6712698936
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_069,0.6197360754,7.2366118431
JAK1/JAK2,8BXH,J1J2_069,0.7091681957,7.6229782104
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_070,0.9540775418,7.8986816406
JAK1/JAK2,8BXH,J1J2_070,0.9418697953,8.2051200867
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_071,0.9491052628,7.633808136
JAK1/JAK2,8BXH,J1J2_071,0.9621691108,7.7435631752
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_072,0.5142962933,7.6014962196
JAK1/JAK2,8BXH,J1J2_072,0.1809426099,7.2574286461
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_073,0.5087767243,8.1000823975
JAK1/JAK2,8BXH,J1J2_073,0.0759943426,7.0301246643
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_074,0.8167319298,8.3391876221
JAK1/JAK2,8BXH,J1J2_074,0.1388400197,7.7099738121
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_075,0.3542923331,7.6399502754
JAK1/JAK2,8BXH,J1J2_075,0.4622674584,8.1846237183
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_076,0.2211297005,6.3168320656
JAK1/JAK2,8BXH,J1J2_076,0.8954595327,7.5742850304
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_077,0.3331975639,6.8875994682
JAK1/JAK2,8BXH,J1J2_077,0.2724878192,6.5369353294
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_078,0.8212456107,7.3607273102
JAK1/JAK2,8BXH,J1J2_078,0.6986163259,7.2720122337
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_079,0.9346875548,8.6273183823
JAK1/JAK2,8BXH,J1J2_079,0.8124849796,8.4967393875
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_080,0.9603238702,8.2801351547
JAK1/JAK2,8BXH,J1J2_080,0.6495661736,7.4656257629
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_081,0.4891747534,7.7009358406
JAK1/JAK2,8BXH,J1J2_081,0.4139030576,7.731865406
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_082,0.8849391937,8.0338525772
JAK1/JAK2,8BXH,J1J2_082,0.5626375675,7.4364943504
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_083,0.8145748973,7.6973400116
JAK1/JAK2,8BXH,J1J2_083,0.5962175727,7.384665966
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_084,0.0435854122,5.6272530556
JAK1/JAK2,8BXH,J1J2_084,0.1199116707,6.243868351
JAK1/TYK2+JAK1/JAK2,6N7A,J1J2_085,0.191610828,6.2281990051
JAK1/JAK2,8BXH,J1J2_085,0.1193196326,6.3796830177
