ligand,target,vina_mode,vina_score
PAB_026,PIK3CB,5,-8.11
PAB_026,PIK3CB,6,-7.842
PAB_026,PIK3CB,7,-7.782
PAB_026,PIK3CB,8,-7.568
PAB_026,PIK3CB,9,-7.299
PAB_027,PIK3CA,1,-8.642
PAB_027,PIK3CA,2,-8.529
PAB_027,PIK3CA,3,-8.398
PAB_027,PIK3CA,4,-8.25
PAB_027,PIK3CA,5,-8.204
PAB_027,PIK3CA,6,-8.157
PAB_027,PIK3CA,7,-8.125
PAB_027,PIK3CA,8,-8.112
PAB_027,PIK3CA,9,-7.744
PAB_027,PIK3CB,1,-9.633
PAB_027,PIK3CB,2,-9.542
PAB_027,PIK3CB,3,-8.987
PAB_027,PIK3CB,4,-8.64
PAB_027,PIK3CB,5,-8.607
PAB_027,PIK3CB,6,-8.602
PAB_027,PIK3CB,7,-8.592
PAB_027,PIK3CB,8,-8.502
PAB_027,PIK3CB,9,-8.316
PAB_028,PIK3CA,1,-7.905
PAB_028,PIK3CA,2,-7.435
PAB_028,PIK3CA,3,-7.176
PAB_028,PIK3CA,4,-6.849
PAB_028,PIK3CA,5,-6.789
PAB_028,PIK3CA,6,-6.574
PAB_028,PIK3CA,7,-6.171
PAB_028,PIK3CA,8,-6.098
PAB_028,PIK3CA,9,-6.02
PAB_028,PIK3CB,1,-8.302
PAB_028,PIK3CB,2,-8.294
PAB_028,PIK3CB,3,-8.126
PAB_028,PIK3CB,4,-7.997
PAB_028,PIK3CB,5,-7.988
PAB_028,PIK3CB,6,-7.911
PAB_028,PIK3CB,7,-7.401
PAB_028,PIK3CB,8,-6.813
PAB_028,PIK3CB,9,-6.558
PAB_029,PIK3CA,1,-8.123
PAB_029,PIK3CA,2,-8.115
PAB_029,PIK3CA,3,-7.965
PAB_029,PIK3CA,4,-7.639
PAB_029,PIK3CA,5,-7.499
PAB_029,PIK3CA,6,-7.475
PAB_029,PIK3CA,7,-7.151
PAB_029,PIK3CA,8,-7.087
PAB_029,PIK3CA,9,-6.85
PAB_029,PIK3CB,1,-8.174
PAB_029,PIK3CB,2,-7.917
PAB_029,PIK3CB,3,-7.767
PAB_029,PIK3CB,4,-7.663
PAB_029,PIK3CB,5,-7.424
PAB_029,PIK3CB,6,-7.364
PAB_029,PIK3CB,7,-7.359
PAB_029,PIK3CB,8,-7.314
PAB_029,PIK3CB,9,-7.043
PAB_030,PIK3CA,1,-7.602
PAB_030,PIK3CA,2,-7.244
PAB_030,PIK3CA,3,-7.118
PAB_030,PIK3CA,4,-7.079
PAB_030,PIK3CA,5,-6.921
PAB_030,PIK3CA,6,-6.909
PAB_030,PIK3CA,7,-6.898
PAB_030,PIK3CA,8,-6.893
PAB_030,PIK3CA,9,-6.859
PAB_030,PIK3CB,1,-6.682
PAB_030,PIK3CB,2,-6.616
PAB_030,PIK3CB,3,-6.523
PAB_030,PIK3CB,4,-6.475
PAB_030,PIK3CB,5,-6.464
PAB_030,PIK3CB,6,-6.339
PAB_030,PIK3CB,7,-6.292
PAB_030,PIK3CB,8,-6.128
PAB_030,PIK3CB,9,-6.086
PAB_031,PIK3CA,1,-7.238
PAB_031,PIK3CA,2,-7.152
PAB_031,PIK3CA,3,-7.08
PAB_031,PIK3CA,4,-6.974
PAB_031,PIK3CA,5,-6.953
PAB_031,PIK3CA,6,-6.911
PAB_031,PIK3CA,7,-6.896
PAB_031,PIK3CA,8,-6.833
PAB_031,PIK3CA,9,-6.673
PAB_031,PIK3CB,1,-8.687
PAB_031,PIK3CB,2,-8.686
PAB_031,PIK3CB,3,-8.578
PAB_031,PIK3CB,4,-8.575
PAB_031,PIK3CB,5,-8.365
PAB_031,PIK3CB,6,-7.827
PAB_031,PIK3CB,7,-7.743
PAB_031,PIK3CB,8,-7.725
PAB_031,PIK3CB,9,-7.702
PAB_032,PIK3CA,1,-7.981
PAB_032,PIK3CA,2,-7.98
