ligand_id,smiles,fragment_status,embed_status,mmff_status,meeko_status,pdbqt_status,n_frags,reason
EH120_085,CN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_086,COc1cc(OC2CCN(C)CC2(F)F)c2c(Nc3ccc(Oc4ccn5ccnc5c4)c(C)c3)ncnc2c1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_087,COc1cc(OC2CCN(C)CC2(F)F)c2c(Nc3ccc(Oc4cc5ncnn5cc4F)c(C)c3)ncnc2c1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_088,CN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)c(F)c4)c4c(N)ncnc43)CC2)CC1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_089,CCN(CC)CCNC(=O)c1[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1C,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_090,C[C@@H](COc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)N(C)C(=O)CO,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_091,Clc1cc(Nc2ncnc3cccc(OC4CCOCC4)c23)ccc1OCc1ccccn1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_092,C=CC(=O)N1[C@@H]2CC[C@H]1C[C@@H](n1nc(-c3cc(F)c(Oc4ccc5c(c4)ncn5C)c(Cl)c3)c3c(C)ncnc31)C2,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_093,COc1cc(O[C@H]2CCN(C)CC2(F)F)c2c(Nc3cc(C)c(Oc4ccn5ncnc5c4)cc3F)ncnc2c1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_094,COc1cc(/C=C(\C#N)C(N)=O)cc(CSc2nc3ccccc3s2)c1O,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_095,Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@H](C)C(=O)N(C)C)c34)cc2C)cn1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_096,C=CC(=O)N1CC2(n3nc(-c4ccc(Oc5ccc6c(c5)ncn6C)c(C)c4)c4c(C)ncnc43)CC1C2,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_097,CN1CCC(Oc2cccc3ncnc(Nc4ccc(OCc5ccccn5)cc4)c23)CC1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_098,C=CC(=O)N1CC[C@@H](n2nc(-c3ccc(Oc4ccc5c(c4)ncn5C)c(C)c3)c3c(C)ncnc32)C1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_099,O=C(NCCN1CCCC1)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_100,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccn5ncnc5c4)c(C)c3)c3c(N)ncnc32)C1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_101,C=CC(=O)N1C[C@H]2C[C@@H](n3nc(-c4ccc(Oc5ccc6c(c5)ncn6C)c(C)c4)c4c(C)ncnc43)[C@@H]1C2,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_102,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,single,etkdgv3_ok,ok,ok,ok,1,
EH120_103,c1ccc(OCc2nnc(Cc3nc4ccccc4[nH]3)o2)cc1,single,etkdgv3_ok,ok,ok,ok,1,
EH120_104,c1ccc(C(c2ccccc2)c2nnc(Cc3nc4ccccc4[nH]3)o2)cc1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_105,Clc1ccc(-c2nnc(Cc3nc4ccc(Cl)cc4[nH]3)o2)c(Cl)c1,single,etkdgv3_ok,ok,ok,ok,1,
EH120_106,Cc1ccccc1-c1nnc(Cc2nc3ccccc3[nH]2)o1,single,etkdgv3_ok,ok,ok,ok,1,
EH120_107,N=C1N=C(NCCS(=O)(=O)O)/C(=C/C(O)CNC(=O)c2cc(Br)c(Br)[nH]2)N1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_108,N=C1N=C(NCCS(=O)(=O)O)/C(=C/C(O)CNC(=O)c2cc(Br)c[nH]2)N1,single,etkdgv3_ok,not_converged,ok,ok,1,
EH120_109,O=C1CSC(NN=C2CCCCCC2)=N1,single,etkdgv3_ok,ok,ok,ok,1,
EH120_110,O=C(NC1CCCC1)c1ccc(N(CCCl)CCCl)cc1,single,etkdgv3_ok,not_converged,ok,ok,1,
